"","Facility.ID","FACILITY.NAME","ADDRESS","CITY","STATE","ZIP.CODE","AREA.CODE","PHONE","fullAddress","lon","lat"
"19",10116,"SLHS JEFFERSON MEDICAL OFFICE PLAZA","300 EAST JEFFERSON","BOISE","Idaho","83712","208","381-4100","300 EAST JEFFERSON, BOISE, Idaho, 83712",-116.1902849,43.6127171
"20",10117,"SLHS REFERENCE LAB","3000 SOUTH DENVER WAY","BOISE","Idaho","83705","208",NA,"3000 SOUTH DENVER WAY, BOISE, Idaho, 83705",-116.195753,43.5747829
"21",10118,"SLHS BOISE HOME CARE","325 WEST IDAHO STREET","BOISE","Idaho","83702","208","381-2138","325 WEST IDAHO STREET, BOISE, Idaho, 83702",-116.1980027,43.6136111
"22",10119,"SLHS MOUNTAIN VIEW MEDICAL CENTER","3301 NORTH SAWGRASS WAY","BOISE","Idaho","83704","208",NA,"3301 NORTH SAWGRASS WAY, BOISE, Idaho, 83704",-116.2815024,43.6347892
"23",10120,"SLHS BOISE MEDICAL OFFICE PLAZA","333 NORTH 1ST STREET","BOISE","Idaho","83712","208",NA,"333 NORTH 1ST STREET, BOISE, Idaho, 83712",-116.1931537,43.6136458
"24",10121,"SLHS IDAHO ENDOCRINOLOGY","403 SOUTH 11TH STREET SUITE 100","BOISE","Idaho","83702","208",NA,"403 SOUTH 11TH STREET SUITE 100, BOISE, Idaho, 83702",-116.2100176,43.6147066
"25",10122,"SLHS CLOVERDALE INTERNAL MEDICINE","4840 NORTH CLOVERDALE ROAD","BOISE","Idaho","83713","208","706-8000","4840 NORTH CLOVERDALE ROAD, BOISE, Idaho, 83713",-116.3344439,43.6489697
"26",10123,"SLHS ELKS PROFESSIONAL BUILDING","510 NORTH 2ND STREET SUITE 103","BOISE","Idaho","83702","208","381-4700","510 NORTH 2ND STREET SUITE 103, BOISE, Idaho, 83702",-116.1927531,43.6150599
"27",10124,"SLHS HAYS STREET OFFICE PLAZA","610 WEST HAYS STREET","BOISE","Idaho","83702","208","345-3530","610 WEST HAYS STREET, BOISE, Idaho, 83702",-116.1961562,43.6201945
"28",10125,"SLHS PARKCENTER CLINIC","701 EAST PARKCENTER BLVD","BOISE","Idaho","83706","208","381-6500","701 EAST PARKCENTER BLVD, BOISE, Idaho, 83706",-116.1753718,43.5894268
"29",10126,"SLHS AMERICANA","703 AMERICANA","BOISE","Idaho","83702","208","706-7500","703 AMERICANA, BOISE, Idaho, 83702",-116.2193782,43.61752
"30",10127,"SLHS RIFLEMAN BCS","8050 WEST RIFLEMAN SUITE 300","BOISE","Idaho","83704","208","381-8720","8050 WEST RIFLEMAN SUITE 300, BOISE, Idaho, 83704",-116.282472,43.6131529
"31",10128,"SLHS MERIDIAN TREASURE VALLEY PEDIATRICS","1620 SOUTH CELEBRATION AVENUE","MERIDIAN","Idaho","83642","208","884-1030","1620 SOUTH CELEBRATION AVENUE, MERIDIAN, Idaho, 83642",-116.3653809,43.5898447
"32",10129,"SLHS GALA STREET COMPLEX","2347 EAST GALA STREET","MERIDIAN","Idaho","83642","208",NA,"2347 EAST GALA STREET, MERIDIAN, Idaho, 83642",-116.3656259,43.5883223
"33",10130,"SLHS MERIDIAN FAMILY HEALTH","3090 GENTRY WAY SUITE 200","MERIDIAN","Idaho","83642","208","887-6813","3090 GENTRY WAY SUITE 200, MERIDIAN, Idaho, 83642",-116.355648,43.598413
"34",10131,"SLHS TEN MILE FAMILY HEALTH","3140 WEST MILANO DRIVE SUITE 150","MERIDIAN","Idaho","83646","208","887-4775","3140 WEST MILANO DRIVE SUITE 150, MERIDIAN, Idaho, 83646",-116.4328915,43.6512177
"35",10132,"SLHS MEADOWLAKE","3525 EAST LOUISE DRIVE SUITE 320","MERIDIAN","Idaho","83642","208","706-5670","3525 EAST LOUISE DRIVE SUITE 320, MERIDIAN, Idaho, 83642",-116.3499193,43.6017684
"36",10133,"SLHS MERIDIAN MEDICAL OFFICE PLAZA","520 SOUTH EAGLE ROAD","MERIDIAN","Idaho","83642","208","706-2200","520 SOUTH EAGLE ROAD, MERIDIAN, Idaho, 83642",-116.3524898,43.5993675
"37",10134,"SLHS CALDWELL MOUNTAIN STATES UROLOGY","1620 SOUTH KIMBALL AVENUE","CALDWELL","Idaho","83605","208",NA,"1620 SOUTH KIMBALL AVENUE, CALDWELL, Idaho, 83605",-116.6984729,43.6555111
"38",10135,"SLHS CALDWELL BCS","229 EAST LOGAN","CALDWELL","Idaho","83605","208","463-6080","229 EAST LOGAN, CALDWELL, Idaho, 83605",-116.6958615,43.6553362
"39",10136,"SLHS CALDWELL IDAHO CARDIOLOGY","315 EAST ELM SUITE 350","CALDWELL","Idaho","83605","208",NA,"315 EAST ELM SUITE 350, CALDWELL, Idaho, 83605",-116.694786,43.653882
"40",10137,"SLHS EMMETT HUMPHREYS DIABETES CENTER","202 EASST LOCUST STREET","EMMETT","Idaho","83617","208",NA,"202 EASST LOCUST STREET, EMMETT, Idaho, 83617",-116.466792,43.879118
"41",10138,"SLHS FRUITLAND VISITING PHYSICIAN LOCATION","1107 NORTHWEST 11TH STREET","FRUITLAND","Idaho","83619","208",NA,"1107 NORTHWEST 11TH STREET, FRUITLAND, Idaho, 83619",-116.9253292,44.0218203
"42",10139,"SLHS FRUITLAND MEDICAL FACILITY","1118 NORTHWEST 16TH STREET #D","FRUITLAND","Idaho","83619","208",NA,"1118 NORTHWEST 16TH STREET #D, FRUITLAND, Idaho, 83619",-97.531442,35.48578
"43",10140,"SLHS FRUITLAND MEDICAL CENTER","1210 NORTHWEST 16TH STREET","FRUITLAND","Idaho","83619","208","452-8600","1210 NORTHWEST 16TH STREET, FRUITLAND, Idaho, 83619",-116.9290768,44.0248559
"44",10141,"SLHS NAMPA IDAHO CARDIOLOGY ASSCOCIATES","215 EAST HAWAII AVENUE","NAMPA","Idaho","83687","208",NA,"215 EAST HAWAII AVENUE, NAMPA, Idaho, 83687",-116.5706234,43.554591
"45",10142,"SLHS NAMPA MSTI","308 EAST HAWAII AVENUE","NAMPA","Idaho","83686","208","467-6700","308 EAST HAWAII AVENUE, NAMPA, Idaho, 83686",-116.569745,43.555674
"46",10143,"SLHS NAMPA HUMPHREYS DIABETES CENTER","4400 EAST FLAMINGO AVENUE","NAMPA","Idaho","83687","208","884-4220","4400 EAST FLAMINGO AVENUE, NAMPA, Idaho, 83687",-116.5172473,43.5975823
"47",10144,"SLHS SLIPA SLEEP MOUNTAIN HOME","890 NORTH 6TH EAST","MOUNTAIN HOME","Idaho","83647","208",NA,"890 NORTH 6TH EAST, MOUNTAIN HOME, Idaho, 83647",-115.6924959,43.1391695
"48",10145,"SLHS HP CLINIC","1131 CHINDEN BLVD","BOISE","Idaho","83714","208","396-7170","1131 CHINDEN BLVD, BOISE, Idaho, 83714",-116.2740117,43.6460803
"49",10146,"SLHS WEST FAMILY HEALTH","12080 WEST MCMILLAN ROAD","BOISE","Idaho","83713","208","375-4955","12080 WEST MCMILLAN ROAD, BOISE, Idaho, 83713",-116.3475458,43.6484071
"50",10147,"SLHS ELMORE MEDICAL OFFICE PLAZA","895 NORTH 6TH EAST","MOUNTAIN HOME","Idaho","83647","208",NA,"895 NORTH 6TH EAST, MOUNTAIN HOME, Idaho, 83647",-115.6930234,43.1387856
"51",10148,"SLHS SLEEP LAB GALA SITE","2347 EAST GALA STREET","MERIDIAN","Idaho","83642","208","706-5380","2347 EAST GALA STREET, MERIDIAN, Idaho, 83642",-116.3656259,43.5883223
"52",10149,"SLHS WEISER REGIONAL CLINIC","645 E 5TH STREET","WEISER","Idaho","83672","208",NA,"645 E 5TH STREET, WEISER, Idaho, 83672",-116.9621748,44.248733
"53",10150,"IDAHO ELKS REHABILITATION HOSPITAL","600 N ROBBINS ROAD","BOISE","Idaho","83702","208",NA,"600 N ROBBINS ROAD, BOISE, Idaho, 83702",-116.1931489,43.616272
"54",10151,"ADA COUNTY FAMILY ADVOCATE CENTER","417 S 6TH STREET","BOISE","Idaho","83702","208",NA,"417 S 6TH STREET, BOISE, Idaho, 83702",-116.204004,43.611929
"55",10152,"ELMORE REGIONAL CLINIC","890 N 6TH EAST","MOUNTAIN HOME","Idaho","83647","208",NA,"890 N 6TH EAST, MOUNTAIN HOME, Idaho, 83647",-115.6924959,43.1391695
"56",10153,"PORTICO EAST","3399 E LOUISE DRIVE","MERIDIAN","Idaho","83642","208","208-364-3000","3399 E LOUISE DRIVE, MERIDIAN, Idaho, 83642",-116.3525247,43.6014835
"57",10154,"SLHS COBBLESTONE BUILDING","450 W STATE STREET","EAGLE","Idaho","83616","208","208-939-1035","450 W STATE STREET, EAGLE, Idaho, 83616",-116.3593727,43.6955335
"58",10155,"SLHS FRUITLAND MEDICAL CLINIC","1107 NW 11TH STREET","FRUITLAND","Idaho","83619","208",NA,"1107 NW 11TH STREET, FRUITLAND, Idaho, 83619",-116.9253292,44.0218203
"59",10156,"SLHS MERIDIAN PROGRESS STREET CENTER","977 S PROGRESS WAY","MERIDIAN","Idaho","83642","208",NA,"977 S PROGRESS WAY, MERIDIAN, Idaho, 83642",-116.3928673,43.5959038
"60",10160,"SLHS FIRST STREET OFFICE COMPLEX","414 N FIRST STREET","BOISE","Idaho","83712","208",NA,"414 N FIRST STREET, BOISE, Idaho, 83712",-116.1923138,43.6141497
"61",10161,"SLHS NAMPA FAMILY JUSTICE CENTER","1305 3RD STREET SOUTH","NAMPA","Idaho","83651","208","207-475-5700","1305 3RD STREET SOUTH, NAMPA, Idaho, 83651",-116.5607514,43.5761196
"62",10162,"SLHS DIAMOND STREET CLINIC","824 S DIAMOND STREET","NAMPA","Idaho","83686-5960","208","208-463-7300","824 S DIAMOND STREET, NAMPA, Idaho, 83686-5960",-116.5580774,43.5605125
"63",10163,"SLHS GREENHURST CLINIC","3165 GREENHURST ROAD","NAMPA","Idaho","83686-8655","208","208-463-7330","3165 GREENHURST ROAD, NAMPA, Idaho, 83686-8655",-116.5315474,43.5464248
"64",10164,"SLHS MAIN PROFFESIONAL BUILDING","300 MAIN STREET","BOISE","Idaho","83702","208","208-381-9270","300 MAIN STREET, BOISE, Idaho, 83702",-116.1978657,43.6131156
"65",10165,"SLHS NAMPA MEDICAL CENTER","9850 W ST LUKES DRIVE","NAMPA","Idaho","83687-7912",NA,NA,"9850 W ST LUKES DRIVE, NAMPA, Idaho, 83687-7912",-116.5634624,43.5407172
"66",10166,"SLHS JEFFERSON STREET OFFICE PLAZA","305 E JEFFERSON STREET","BOISE","Idaho","83712-6273","208",NA,"305 E JEFFERSON STREET, BOISE, Idaho, 83712-6273",-116.190675,43.612226
"67",10167,"SLHS FRUITLAND CENTENNIAL PLAZA","909 NW 16TH STREET","FRUITLAND","Idaho","83619","208",NA,"909 NW 16TH STREET, FRUITLAND, Idaho, 83619",-116.9257762,44.0260333
"68",10168,"SLHS BOISE VA MEDICAL CENTER","500 W FORT STREET","BOISE","Idaho","83724-4501",NA,NA,"500 W FORT STREET, BOISE, Idaho, 83724-4501",-116.1904838,43.6208798
"69",10169,"SLHS COLUMBIA BUSINESS PARK","2051 SUMMERSWEET DRIVE","BOISE","Idaho","83716-6695","208",NA,"2051 SUMMERSWEET DRIVE, BOISE, Idaho, 83716-6695",-116.157828,43.546763
"70",10170,"SLHS YANKE FAMILY RESEARCH PARK","220 E PARKCENTER BLVD","BOISE","Idaho","83706-3940","208","208-426-5710","220 E PARKCENTER BLVD, BOISE, Idaho, 83706-3940",-116.183329,43.599888
"71",10171,"NORTHWEST NAZARENE UNIVERSITY","623 S UNIVERSITY BOULEVARD","NAMPA","Idaho","83686-5800","208",NA,"623 S UNIVERSITY BOULEVARD, NAMPA, Idaho, 83686-5800",-116.5666671,43.5628389
"72",10172,"SLHS NAMPA GARRITY CLINIC","1200 GARRITY BOULEVARD","NAMPA","Idaho","83687-3402","208",NA,"1200 GARRITY BOULEVARD, NAMPA, Idaho, 83687-3402",-116.5494272,43.5869728
"73",10173,"VALOR HEALTH EMMETT","1202 E LOCUST STREET","EMMETT","Idaho","83617-2715","208",NA,"1202 E LOCUST STREET, EMMETT, Idaho, 83617-2715",-116.4848652,43.879196
"74",10174,"SLHS PORTICO WEST","3277 E LOUISE DRIVE","MERIDIAN","Idaho","83642-9359",NA,NA,"3277 E LOUISE DRIVE, MERIDIAN, Idaho, 83642-9359",-116.3540106,43.6015226
"75",10175,"SLHS TENTH AVENUE OFFICE PLAZA","1818 S 10TH AVENUE","CALDWELL","Idaho","83605-4838",NA,NA,"1818 S 10TH AVENUE, CALDWELL, Idaho, 83605-4838",-116.6934528,43.6538243
"76",10176,"SLHS CASCADE PLAZA MEDICAL OFFICE","8950 W EMERALD","BOISE","Idaho","83704-4854",NA,NA,"8950 W EMERALD, BOISE, Idaho, 83704-4854",-116.293384,43.6118565
"77",10177,"SLHS WEST POTOMAC MEDICAL OFFICE","7272 W POTOMAC DRIVE","BOISE","Idaho","83704-9149",NA,NA,"7272 W POTOMAC DRIVE, BOISE, Idaho, 83704-9149",-116.2726802,43.6113968
"78",10178,"SLHS WEST TWELFTH AVENUE PLACE","290 W GEORGIA AVENUE","NAMPA","Idaho","83686-2835",NA,NA,"290 W GEORGIA AVENUE, NAMPA, Idaho, 83686-2835",-116.575118,43.556398
"79",10179,"SLHS EAST TWELFTH AVENUE PLACE","210 W GEORGIA AVENUE","NAMPA","Idaho","53686-5688",NA,NA,"210 W GEORGIA AVENUE, NAMPA, Idaho, 53686-5688",-116.574643,43.556398
"80",10180,"SLHS SANTA FE SQUARE MERIDIAN","2275 S EAGLE ROAD","MERIDIAN","Idaho","83642-5079","208","208-947-2266","2275 S EAGLE ROAD, MERIDIAN, Idaho, 83642-5079",-116.3552428,43.5842597
"81",10181,"MAIN STREET PROFESSIONAL BUILDING","115 MAIN STREET","BOISE","Idaho","83702-7302","208",NA,"115 MAIN STREET, BOISE, Idaho, 83702-7302",-116.1954401,43.6115259
"82",10182,"PODIATRY CENTER OF IDAHO","1907 S BROADWAY AVENUE","BOISE","Idaho","83706",NA,NA,"1907 S BROADWAY AVENUE, BOISE, Idaho, 83706",-116.1941081,43.589638
"83",10183,"SAGE HEALTH CARE CENTER","413 N ALLUMBAUGH STREET","BOISE","Idaho","83704","208",NA,"413 N ALLUMBAUGH STREET, BOISE, Idaho, 83704",-116.267973,43.608556
"84",10184,"HAYES STREET MEDICAL PLAZA","608 HAYS STREET","BOISE","Idaho","83702","208",NA,"608 HAYS STREET, BOISE, Idaho, 83702",-116.1961173,43.6202409
"85",10185,"SLHS MERIDIAN SURGERY CENTER","520 S EAGLE ROAD","MERIDIAN","Idaho","83642","208",NA,"520 S EAGLE ROAD, MERIDIAN, Idaho, 83642",-116.3524898,43.5993675
"86",10186,"EMMETT SURGICAL SPECIALTY CLINIC","1024 E LOCUST STREET","EMMETT","Idaho","83617-2776","208","208-365-2338","1024 E LOCUST STREET, EMMETT, Idaho, 83617-2776",-116.4871426,43.8790731
"87",10187,"WEST VALLEY MEDICAL COMPLEX","1906 FAIRVIEW AVENUE","CALDWELL","Idaho","83605-5407","208",NA,"1906 FAIRVIEW AVENUE, CALDWELL, Idaho, 83605-5407",-116.694704,43.653037
"88",10188,"STATE STREET OFFICE PLAZA","111 WEST STATE STREET","BOISE","Idaho","83702-6127","208","208-381-2665","111 WEST STATE STREET, BOISE, Idaho, 83702-6127",-116.192994,43.61454
"89",10189,"JR SIMPLOT COMPANY - CALDWELL","16551 SIMPLOT BLVD","CALDWELL","Idaho","83605",NA,NA,"16551 SIMPLOT BLVD, CALDWELL, Idaho, 83605",-116.7244767,43.669632
"90",10190,"TALUS MEDICAL PLAZA","3875 E OVERLAND ROAD","MERIDIAN","Idaho","83642",NA,NA,"3875 E OVERLAND ROAD, MERIDIAN, Idaho, 83642",-116.3461767,43.5897348
"91",10191,"IDAHO STREET MEDICAL BUILDING","311 W IDAHO STREET","BOISE","Idaho","83702",NA,NA,"311 W IDAHO STREET, BOISE, Idaho, 83702",-116.1975821,43.6134535
"92",10192,"CARRIAGE CROSSING MEDICAL BUILDING","2475 APPLE STREET","BOISE","Idaho","83706",NA,NA,"2475 APPLE STREET, BOISE, Idaho, 83706",-116.1741725,43.5805303
"93",10193,"KARCHER PLAZA CALDWELL","1709 NAMPA CALDWELL BLVD","NAMPA","Idaho","83651",NA,NA,"1709 NAMPA CALDWELL BLVD, NAMPA, Idaho, 83651",-116.6019623,43.6045942
"94",10194,"GEORGIA AVENUE MEDICAL BUILDING","207 W GEORGIA AVENUE","NAMPA","Idaho","83686",NA,NA,"207 W GEORGIA AVENUE, NAMPA, Idaho, 83686",-116.574572,43.555619
"95",10195,"STATE STREET MEDICAL BUILDING","6052 W STATE STREET","BOISE","Idaho","83703",NA,NA,"6052 W STATE STREET, BOISE, Idaho, 83703",-116.2639398,43.6596955
"96",10196,"LAKEHARBOR PLAZA","2999 N LAKEHARBOR LANE","BOISE","Idaho","83703",NA,NA,"2999 N LAKEHARBOR LANE, BOISE, Idaho, 83703",-116.2567934,43.6540982
"97",10197,"RIVERSHORE PLAZA","533 S RIVERSHORE LANE","EAGLE","Idaho","83616",NA,NA,"533 S RIVERSHORE LANE, EAGLE, Idaho, 83616",-116.3562514,43.6898562
"98",10198,"SECOND STREET SOUTH PLAZA","172 2ND STREET SOUTH","NAMPA","Idaho","83651",NA,NA,"172 2ND STREET SOUTH, NAMPA, Idaho, 83651",-116.5709377,43.5854735
"99",10199,"SLHS TREASURE VALLEY PARENT LOCATION","190 E BANNOCK ST","BOISE","Idaho","83712-6241","208",NA,"190 E BANNOCK ST, BOISE, Idaho, 83712-6241",-116.1924344,43.6125798
"100",10200,"SLHS WOOD RIVER MEDICAL CENTER","100 HOSPITAL DRIVE","KETCHUM","Idaho","83340-0000","208","727-8800","100 HOSPITAL DRIVE, KETCHUM, Idaho, 83340-0000",-114.3495026,43.6485462
"101",10201,"SLHS WOOD RIVER PHYSICIAN CENTER","101 HOSPITAL DRIVE","KETCHUM","Idaho","83340","208",NA,"101 HOSPITAL DRIVE, KETCHUM, Idaho, 83340",-114.3488877,43.6494614
"102",10202,"SLHS SUN VALLEY SPORTS MEDICINE","191 5TH STREET WEST","KETCHUM","Idaho","83340","208",NA,"191 5TH STREET WEST, KETCHUM, Idaho, 83340",-114.3674133,43.6805567
"103",10203,"SLHS WOOD RIVER FAMILY MEDICINE","1450 AVIATION DRIVE SUITE 100","HAILEY","Idaho","83340","208",NA,"1450 AVIATION DRIVE SUITE 100, HAILEY, Idaho, 83340",-114.3026785,43.5047158
"104",10204,"SLHS SALMON RIVER CLINIC","110 NIECE AVENUE","STANLEY","Idaho","83278","208",NA,"110 NIECE AVENUE, STANLEY, Idaho, 83278",-114.939508,44.214074
"105",10205,"SLHS CHALLIS CLINIC","1 CLINIC ROAD","CHALLIS","Idaho","83226","208","879-4351","1 CLINIC ROAD, CHALLIS, Idaho, 83226",-114.22661,44.511692
"106",10206,"MAPLE STREET OFFICE PLAZA","21 E MAPLE SUITE A","HAILEY","Idaho","83333","208","208-788-3200","21 E MAPLE SUITE A, HAILEY, Idaho, 83333",-114.3100751,43.514293
"107",10208,"SLHS WESTRIDGE","640 2ND AVENUE SOUTH","KETCHUM","Idaho","83340","208","208-622-8811","640 2ND AVENUE SOUTH, KETCHUM, Idaho, 83340",-114.3620654,43.6737302
"108",10299,"SLHS WOOD RIVER PARENT LOCATION",NA,NA,NA,NA,NA,NA,"NA, NA, NA, NA",18.49041,-22.95764
"109",10300,"SLHS MCCALL MEDICAL CENTER","1000 STATE STREET","MCCALL","Idaho","83638","208","634-4061","1000 STATE STREET, MCCALL, Idaho, 83638",-116.1100499,44.90904
"110",10301,"SLHS MCCALL INTEGRATIVE MEDICINE CLINIC","203 HEWITT STREET","MCCALL","Idaho","83638","208",NA,"203 HEWITT STREET, MCCALL, Idaho, 83638",-116.1102344,44.9096684
"111",10302,"SLHS MCCALL MEDICAL OFFICE PLAZA","209 FOREST STREET","MCCALL","Idaho","83638","208",NA,"209 FOREST STREET, MCCALL, Idaho, 83638",-116.1114177,44.908856
"112",10303,"SLHS PAYETTE LAKES MEDICAL CLINIC","211 FOREST STREET","MCCALL","Idaho","83638","208","634-2225","211 FOREST STREET, MCCALL, Idaho, 83638",-116.1116918,44.9092053
"113",10304,"SLHS SALMON RIVER MEDICAL CLINIC","214 MAIN STREET","RIGGINS","Idaho","83549","208",NA,"214 MAIN STREET, RIGGINS, Idaho, 83549",-116.3150119,45.4218504
"114",10305,"SLHS MEADOW VALLEY CLINIC","320 VIRGINIA AVENUE","NEW MEADOWS","Idaho","83654","208",NA,"320 VIRGINIA AVENUE, NEW MEADOWS, Idaho, 83654",-116.282942,44.9711222
"115",10306,"SLHS MCCALL SLEEP - ALLEN NOKES CENTER","200 FORREST STREET","KUNA","Idaho","83634",NA,NA,"200 FORREST STREET, KUNA, Idaho, 83634",-116.5304925,43.471545
"116",10307,"DEINHARD LANE","301 DEINHARD LANE","MCCALL","Idaho","83638-4703","208","208-630-2450","301 DEINHARD LANE, MCCALL, Idaho, 83638-4703",-116.0994983,44.897929
"117",10399,"SLHS MCCALL PARENT LOCATION",NA,NA,NA,NA,NA,NA,"NA, NA, NA, NA",18.49041,-22.95764
"118",10400,"SLHS MAGIC VALLEY MEDICAL CENTER","801 POLE LINE ROAD WEST","TWIN FALLS","Idaho","83301","208","208-814-1000","801 POLE LINE ROAD WEST, TWIN FALLS, Idaho, 83301",-114.4959781,42.5907332
"119",10401,"SLHS MORRISON STREET CLINIC","141 MORRISON STREET","TWIN FALLS","Idaho","83301","208","734-1266","141 MORRISON STREET, TWIN FALLS, Idaho, 83301",-114.492862,42.563302
"120",10402,"SLHS GOODING CARDIOLOGY CLINIC","1120 MONTANA STREET","GOODING","Idaho","83330","208",NA,"1120 MONTANA STREET, GOODING, Idaho, 83330",-114.710284,42.93424
"121",10403,"SLHS JEROME SICA","115 5TH AVENUE WEST","JEROME","Idaho","83338","208",NA,"115 5TH AVENUE WEST, JEROME, Idaho, 83338",-114.519371,42.7289061
"122",10404,"SLHS RUPERT CARDIOLOGY CLINIC","1218 9TH STREET SUITE 12","RUPERT","Idaho","83350","208",NA,"1218 9TH STREET SUITE 12, RUPERT, Idaho, 83350",-113.6822347,42.6206335
"123",10405,"SLHS BURLEY ISO","1263 BENNETT AVENUE SUITE 1","BURLEY","Idaho","83301","208","420-4982","1263 BENNETT AVENUE SUITE 1, BURLEY, Idaho, 83301",-113.7801272,42.536964
"124",10406,"SLHS BURLEY HIGHLAND STREET CLINIC","1501 HIGHLAND SUITE B","BURLEY","Idaho","83318","208",NA,"1501 HIGHLAND SUITE B, BURLEY, Idaho, 83318",-113.7819499,42.6032124
"125",10407,"SLHS ELKO PHYSICAL MEDICINE","1825 PINION ROAD SUITE C","ELKO","Nevada","89801","775","777-9600","1825 PINION ROAD SUITE C, ELKO, Nevada, 89801",-115.7348536,40.831723
"126",10409,"SLHS MAGIC VALLEY MEDICAL PLAZA","775 POLE LINE ROAD WEST","TWIN FALLS","Idaho","83301","208",NA,"775 POLE LINE ROAD WEST, TWIN FALLS, Idaho, 83301",-114.4956624,42.591584
"127",10410,"SLHS MAGIC VALLEY MOUNTAIN STATES TUMOR INSTITUTE","725 POLE LINE ROAD WEST","TWIN FALLS","Idaho","83301","208","208-814-1600","725 POLE LINE ROAD WEST, TWIN FALLS, Idaho, 83301",-114.4950526,42.5915806
"128",10411,"SLHS CASSIA CLINIC","1263 BENNETT AVENUE SUITE 1","BURLEY","Idaho","83318-4906","208",NA,"1263 BENNETT AVENUE SUITE 1, BURLEY, Idaho, 83318-4906",-113.7801272,42.536964
"129",10412,"SLHS IDAHO ORTHOPAEDIC AND SPORTS CLINIC","560 MEMORIAL DRIVE","POCATELLO","Idaho","83201",NA,NA,"560 MEMORIAL DRIVE, POCATELLO, Idaho, 83201",-112.4301124,42.8695952
